,tweets,sentiment,word_counts,chars_count,avg_word,stop_words_count,hash_counts,mentions_count,numeric_count,upper_count,emails_count,urls_flag,rt_count
32,school ready summer,0,6,37,5.166666666666667,1,0,0,0,0,0,0,0
33,great weekend birthday went bang college 2mro,0,13,72,4.538461538461538,5,0,0,0,0,0,0,0
34,ana1490 4 followers sad ppl stopped following need ppl,0,20,102,4.1,10,0,1,1,0,0,0,0
35,days nbadraft ahhhh cleaning room,0,10,70,6.0,3,1,0,1,1,0,0,0
36,mom ruined prom dress,0,6,29,3.8333333333333335,1,0,0,0,0,0,0,0
37,riddled cold happy jan bring sun,0,11,57,4.181818181818182,4,0,0,0,0,0,0,0
38,debating build theme buy,0,17,74,3.3529411764705883,10,0,0,0,1,0,0,0
39,wish bowl,0,7,27,2.857142857142857,3,0,0,0,2,0,0,0
40,felt crap actually feel atm,0,18,94,4.222222222222222,9,0,0,0,0,0,0,0
41,3g signal fair,0,6,26,3.3333333333333335,2,0,0,0,1,0,0,0
42,needs revise exam tomoorowww,0,6,38,5.333333333333333,2,0,0,0,0,0,0,0
43,wants june headed chicago yuck weather,0,18,86,3.7777777777777777,11,0,0,0,0,0,0,0
44,justdarline damn sounds fun jenniferohjenni invite,0,12,90,6.416666666666667,4,0,2,0,0,0,0,0
45,trentreznor yezzzzz bad,0,5,36,5.8,2,0,1,0,0,0,0,0
46,news quiz missed number 8 sorry wallstreet 82nd percentile sounds soooo low,0,18,121,5.555555555555555,3,0,0,0,1,0,1,0
47,camenmarris sorry upset picture tweet cook chicken come,0,24,131,4.458333333333333,11,0,1,0,1,0,0,0
48,dear rain ruining plans tragically laundry line,0,20,106,4.3,8,0,0,0,1,0,0,0
49,omg nose ring caught towel ripped ouch find old booo,0,28,127,3.5357142857142856,12,0,0,0,3,0,0,0
50,hours feels,0,14,64,3.5714285714285716,7,0,0,0,1,0,0,0
51,omg sleep worst migraine ahhh miserable,0,9,62,5.888888888888889,0,0,0,0,0,0,0,0
52,moonfrye working extra hours,0,4,33,7.25,0,0,1,0,0,0,0,0
53,wew sleepy afternoon hard,0,8,52,5.5,2,0,0,0,0,0,0,0
54,getting things hurts ugh summer suppose relaxation,0,17,100,4.882352941176471,7,0,0,0,0,0,0,0
55,okay force yuk,0,9,36,3.0,4,0,0,0,1,0,0,0
56,waiting macbook come,0,7,40,4.714285714285714,3,0,0,0,0,0,0,0
57,flyestofthemall track star star track boom yes idk pain felt,0,24,109,3.5416666666666665,9,0,1,0,2,0,0,0
58,maybe didnt enywhere w familly todayeverybodys busy feel boooring watchin dvd till drunk --,0,24,133,4.541666666666667,5,0,0,0,2,0,0,0
59,cover english,0,5,30,5.0,1,0,0,0,0,0,0,0
60,sleep working,0,7,39,4.571428571428571,3,0,0,0,0,0,0,0
61,tearcatcher,0,2,18,8.0,1,0,1,0,0,0,0,0
62,oksono pictures yetno web page driving mad having hard,0,15,98,5.466666666666667,5,0,0,0,0,0,0,0
63,house sadd gonna miss teeny room,0,15,71,3.7333333333333334,5,0,0,0,0,0,0,0
64,antfresh haha sign shape key said quotkeys open doorsquot hook keys school,0,32,148,3.625,19,0,1,0,0,0,0,0
65,tough nice come familiar face,0,23,106,3.608695652173913,11,0,0,0,1,0,0,0
66,tanglercom,0,2,17,7.5,1,0,0,0,0,0,0,0
67,nice dinner michael kids raining,0,15,75,3.933333333333333,7,0,0,0,0,0,0,0
68,dive bar restrooms cleaner restrooms,0,10,59,4.9,4,0,0,0,0,0,0,0
69,ashedryden mathiasx noes sucky way spend sunday morning hope matts right,0,15,90,5.0,3,0,2,0,0,0,0,0
70,poor little boy crushed award4,0,16,83,4.1875,10,0,0,0,0,0,0,0
71,univheights75 gooster need rogaine legs friends laughing non-hairy legs,0,16,97,5.0625,7,0,2,0,0,0,0,0
72,man pooped,0,7,34,3.857142857142857,1,0,0,0,0,0,0,0
73,lizook12 tried need ease,0,16,79,3.8125,5,0,1,0,4,0,0,0
74,haircut,0,5,29,4.8,1,0,0,0,0,0,0,0
75,ashleedaklassic sad y laughin plus sized models gotta eat ya,0,17,91,4.352941176470588,3,0,1,0,0,0,0,0
76,nooooooo crap extralife didnt mp3 sent unprocessed vo version casualraider fail,0,20,120,4.9,9,0,1,0,3,0,0,0
77,wondering parks area playgrounds,0,15,77,4.066666666666666,10,0,0,0,0,0,0,0
78,brettborders season year worked copper mtn season 98 miss snow,0,27,131,3.8518518518518516,10,0,1,0,2,0,0,0
79,micameli friend supposed having arranged,0,15,94,5.266666666666667,7,0,1,0,0,0,0,0
80,huge mistake boss happy sucks,0,17,83,3.8823529411764706,9,0,0,0,1,0,0,0
81,ana dinara quarter draw tell serena watch klara zakopalova 1st round,0,23,125,4.260869565217392,11,0,0,0,0,0,0,0
82,cleaned locker kind sad dunked head super hot selena demi canada tonight d,0,27,136,4.0,10,0,0,0,1,0,0,0
83,petewentz cocktease,0,5,31,5.2,3,0,1,0,0,0,0,0
84,dancedahnidance wait naw come girl guy,0,13,69,4.3076923076923075,5,0,1,0,0,0,0,0
85,maustallica problem away week june ok waiting,0,22,117,4.318181818181818,10,0,1,0,0,0,0,0
86,sleep 230am sleep cold miss classes 2morrowand miss friends,0,23,138,5.0,8,0,0,0,0,0,0,0
87,sleeping tonight,0,3,24,7.0,1,0,0,0,0,0,0,0
88,check site figure fix macbook charger,0,21,116,4.523809523809524,11,0,0,0,1,0,1,0
89,jessiekaiser scary hope hear soon bb,0,11,63,4.7272727272727275,3,0,1,0,1,0,0,0
90,hotel pillows thouuu,0,5,32,5.4,2,0,0,0,0,0,0,0
91,gossip girls boo til 5 enterian twitters x,0,13,66,4.076923076923077,2,0,0,1,0,0,0,0
92,summer gonna suck grandma tuesday graduationbut sadly cant,0,23,126,4.434782608695652,0,0,0,0,1,0,0,0
93,woke sleeping 12 hours wicked headache,0,14,73,4.214285714285714,7,0,0,1,0,0,0,0
94,finally beat coughing nighty,0,17,85,4.0,4,0,0,1,1,0,0,0
95,craigeryowens argh live jersey,0,9,56,5.111111111111111,3,0,1,0,0,0,0,0
96,migraine againnnnnnnnnnnnnnnn,0,2,30,14.0,0,0,0,0,0,0,0,0
97,sjcnkotb everybody send dm anybody dm option protected itbecause hundreds,0,22,131,4.954545454545454,10,0,1,0,0,0,0,0
98,annoyed sweet dying chocolate,0,11,66,5.0,3,0,0,0,0,0,0,0
99,e badu tonight marie called missed extra ticket ish vibrate missed damn,0,28,137,3.892857142857143,11,0,0,0,5,0,0,0
100,phillip anthony leonard roger joel david film criticism nuts,0,10,71,6.1,1,0,0,0,0,0,0,0
101,hospital visiting great grandpa fun,0,9,50,4.555555555555555,2,0,0,0,0,0,0,0
102,backstreetboys theres electricity house right phone die pls quick shout cmon,0,24,127,4.291666666666667,11,0,1,0,0,0,0,0
103,gahustle tried suggestionnow aim bbm frozeni amma t mobile 2mrw,0,18,105,4.833333333333333,7,0,1,0,4,0,0,0
104,wow bored,0,3,18,5.0,1,0,0,0,0,0,0,0
105,holleymonelle dude massacre green sauce bring sooome,0,10,70,6.0,3,0,1,0,0,0,0,0
106,finished compiling 2009 kaibigan banquet video 41 minutes long facebook accepts videos long,0,22,138,5.2727272727272725,5,0,0,2,1,0,0,0
107,world buy dress tuesday jennas confirmation moneys,0,19,99,4.2105263157894735,11,0,0,0,0,0,0,0
108,finished burying cat rip fat cat crazy old girl,0,12,63,4.25,2,0,0,0,1,0,0,0
109,hating workk coodinates come save n 26 42 0 w 80 3 0,0,18,86,3.6666666666666665,3,0,0,0,2,0,0,0
110,cra1gha1r yesterday saw footscray hot cross buns,0,21,118,4.571428571428571,11,0,1,0,1,0,0,0
111,faultlines yezyez scared class,0,12,64,4.333333333333333,7,0,1,0,0,0,0,0
112,havent,0,8,33,3.125,5,0,0,0,1,0,0,0
113,krodbro come chicago point summer,0,15,81,4.4,7,0,1,0,0,0,0,0
114,mileycyrus fair vote says voting closed vote everyday vote 20xs,0,25,128,4.12,0,0,1,0,24,0,0,0
115,mellymooxox unfortunately find,0,11,66,5.0,3,0,1,0,2,0,0,0
116,negeensm pedacom healthier,0,7,49,6.0,1,0,1,0,0,0,0,0
117,rajeshblue happens group- sends bad message lets goes,0,18,93,4.166666666666667,10,0,1,0,0,0,0,0
118,raquel picked long trial happy cuz didnt picked stuck,0,27,127,3.7037037037037037,15,0,0,0,0,0,0,0
119,mzreese wish ppl agree,0,9,47,4.222222222222222,4,0,1,0,1,0,0,0
120,man people watching hockey tonight feel slacker missing games bad hockey fan,0,22,122,4.545454545454546,7,0,0,0,1,0,0,0
121,tylerakira ughhh tonight,0,9,53,4.888888888888889,5,0,1,0,0,0,0,0
122,early knee throbbing maker faire 99 possibly califur torn ligament insurance tho,0,22,129,4.863636363636363,3,0,0,0,1,0,0,0
123,nikolem2 find persephone wheezingcannot breathe cat allergies bad,0,25,136,4.44,10,0,1,0,2,0,0,0
124,feels weird,0,3,18,5.0,0,0,0,0,0,0,0,0
125,started ended disastrous finance team comp screwed salaries short 10k,0,20,117,4.85,9,0,0,0,0,0,0,0
126,exonumi favorite froyo place closed,0,8,66,7.25,1,0,1,0,0,0,1,0
127,quotyear onequot lady,0,5,37,6.4,2,0,0,0,0,0,0,0
128,looked pale,0,6,39,5.5,2,0,0,0,0,0,0,0
129,tired lacrosse shopping laura,0,6,41,5.833333333333333,2,0,0,0,0,0,0,0
130,arifbaby shit yes guess missin let goeslol,0,20,112,4.6,7,0,1,0,3,0,1,0
131,nhuy remember job wed fill timesheet prob playing vw,0,20,115,4.75,7,0,0,0,2,0,1,0
132,kellbell68 shape shift ohio thennvm behave,0,12,76,5.333333333333333,4,0,1,0,0,0,0,0
133,richardheinz wish storm threw cali dosent rain,0,14,75,4.357142857142857,7,0,1,0,0,0,0,0
134,ok quotterminatorquot universe watching terminator 3 row working,0,27,146,4.407407407407407,15,0,0,1,2,0,0,0
135,shamsha sucks sorry,0,5,32,5.4,1,0,1,0,0,0,0,0
136,weather certainly broken pick tent morning tonight,0,27,132,3.888888888888889,15,0,0,0,0,0,0,0
137,donniewhalberg mistake deleted pics nkotb f fri,0,11,63,4.7272727272727275,4,0,1,0,0,0,0,0
138,glendowz paul van dyk left vancouver friday played 3-hour set,0,16,93,4.625,4,0,1,0,1,0,0,0
139,rocsirabbit bring breakfast elsethose pancakes look right,0,13,84,5.461538461538462,4,0,1,0,0,0,0,0
140,amymcx double pe second tomorow thats nae gid pe droupout l l,0,16,87,4.4375,2,0,1,0,4,0,0,0
141,nadiaahernvoice bummed sick,0,11,66,5.0,5,0,1,0,0,0,0,0
142,trusty macbook pros hard drive finally died 12 years rip open install ughhh,0,24,121,4.041666666666667,5,0,0,1,1,0,0,0
143,jjkeith omg friend sweet young girl knew murdered psycho months ago 13 breaks heart,0,27,137,4.037037037037037,10,0,1,0,3,0,0,0
144,asherroth beautiful- come visit bells mansion,0,8,56,6.0,2,0,1,0,0,0,0,0
145,haimejaber awwwwww hugs whenm gonna seeeee boyboy,0,9,61,5.777777777777778,2,0,1,0,0,0,0,0
146,natali3fall0n feelin besterzz xxx,0,10,62,5.2,0,0,1,0,1,0,0,0
147,mums week,0,18,73,3.0555555555555554,10,0,0,0,1,0,0,0
148,possible die coughing sucks ill,0,11,56,4.090909090909091,4,0,0,0,1,0,0,0
149,theguiltyones hope feel better sooooooon,0,7,49,6.0,1,0,1,0,1,0,0,0
150,miss switzerland,0,4,26,5.5,1,0,0,0,1,0,0,0
151,way life atm dont,0,17,78,3.588235294117647,9,0,0,0,0,0,0,0
152,sandrabernhard windy,0,5,35,6.0,3,0,1,0,0,0,0,0
153,emilyspademan clearly underestimated comic life ilife thenshame,0,13,91,6.0,4,0,1,0,1,0,0,0
154,aaahhhhh signal tv gone,0,8,43,4.375,0,0,0,0,8,0,0,0
155,omgitsxliss hope feel betterrr,0,6,39,5.5,2,0,1,0,0,0,0,0
156,great close visit w friends began apr 25 sad end lots times stories,0,27,127,3.7037037037037037,11,0,0,0,0,0,0,0
157,thought stalker left turns took month hiatus,0,18,83,3.611111111111111,10,0,0,0,1,0,0,0
158,kiwijem whereabouts nicky cant find,0,10,59,4.9,3,0,1,0,0,0,0,0
159,relaxinwanna 2nite ones gonna boredhopefully come rescue,0,15,97,5.466666666666667,3,0,0,0,0,0,0,0
160,ohmygosh eyes r soo red starting swell allergy hayfever wh knows happy,0,17,90,4.294117647058823,5,0,0,0,0,0,0,0
161,gamesradar god damn cupcakes antista jerk gets tasty stuff,0,16,87,4.4375,4,0,1,0,1,0,0,0
162,english reading joys macbeth x,0,11,51,3.6363636363636362,6,0,0,0,0,0,0,0
163,mornin cold wet windy cumbria wwhat weather global warming belly button ice age,0,25,140,4.6,6,0,0,0,1,0,0,0
164,wants outside sun stuck inside desk,0,13,62,3.769230769230769,7,0,0,0,0,0,0,0
165,elementsofjazz yes wwhat stimulate conversation major jazz fests summer,0,19,121,5.315789473684211,4,0,1,0,0,0,0,0
166,pdx hot miss beach,0,10,48,3.8,2,0,0,0,2,0,0,0
167,tommymac1 wrong people sorry guys,0,12,64,4.333333333333333,5,0,1,0,0,0,0,0
168,allison meh david lynch 4 stopped c 1 private gala yesterday anyways,0,29,136,3.689655172413793,11,0,2,3,0,0,0,0
169,arghhh couldnt grow nails marmaris chopped booo,0,15,82,4.466666666666667,0,0,0,0,1,0,0,0
170,humid training short 3 weekend reality,0,27,120,3.4444444444444446,12,0,0,1,1,0,0,0
171,internet connection office,0,7,42,5.0,4,0,0,0,0,0,0,0
172,scream quotdo itquot characters die hi 4 sleep weak pe,0,31,148,3.7419354838709675,11,0,0,1,4,0,0,0
173,sydney wish stayed longer byron,0,13,58,3.4615384615384617,7,0,0,0,0,0,0,0
174,wow 645 sun peek n ugly head 99 degrees atl wa heat index 110,0,24,110,3.5833333333333335,6,0,0,2,2,0,0,0
175,thing chased childhood queen marioi pushed luigi super mario bros,0,25,133,4.32,13,0,0,0,0,0,0,0
176,uniand projects,0,6,35,4.833333333333333,4,0,0,0,0,0,0,0
177,redo chameleon tank discoverd mold underneath branchesthis badi chameleon tuesday,0,20,128,5.4,10,0,0,0,0,0,0,0
178,nicolehasheart wow quotnewquot twitter aka stupid didnt check s tweets sorry,0,26,148,4.6923076923076925,12,0,2,0,0,0,0,0
179,sun gone nooooooo,0,5,25,4.0,1,0,0,0,0,0,0,0
180,burn tongue eat soup,0,9,41,3.5555555555555554,3,0,0,0,2,0,0,0
181,,0,2,8,3.0,1,0,0,0,0,0,0,0
182,baddkittie89 stay ova compton,0,6,36,5.0,1,0,1,0,1,0,0,0
183,kearycolbert june 15 1995 chino hills 1 rained n june socalwe outside grad gym,0,27,132,3.888888888888889,8,0,1,3,1,0,0,0
184,sarahshackshaft stop outruling big meano,0,6,48,7.0,0,0,1,0,0,0,0,0
185,getting ready workfollowed workout12 hrs fun wat gonna hair,0,20,105,4.25,9,0,0,0,0,0,0,0
186,barnes noble fail latest meg cabot novel,0,12,67,4.583333333333333,3,0,0,0,0,0,0,0
187,having indecisive cant choose eatdo wish bed,0,16,82,4.125,6,0,0,0,1,0,0,0
188,doriath69,0,1,13,10.0,0,0,1,0,0,0,0,0
189,amandyanderson lost help find,0,11,60,4.454545454545454,3,0,1,0,1,0,0,0
190,sad text,0,6,31,4.166666666666667,3,0,0,0,0,0,0,0
191,news jet,0,7,33,3.7142857142857144,4,0,0,0,0,0,0,0
192,hannahnoellee haha sorry reply,0,8,49,5.125,2,0,1,0,1,0,0,0
193,believe gone crazy quick happens,0,12,71,4.916666666666667,4,0,0,0,0,0,0,0
194,twitterpornnames solitaire southgatenot appealing sorry porn gets f,0,12,89,6.416666666666667,4,1,0,0,1,0,0,0
195,cut cut fingers cut deep man xoxo,0,10,48,3.7,3,0,0,0,0,0,0,0
196,ready attention headache goes away,0,15,70,3.6666666666666665,5,0,0,0,0,0,0,0
197,distillers- break,0,14,80,4.714285714285714,7,0,0,0,1,0,1,0
198,enjoying psp unfortunately stuck pixel god war insane,0,14,77,4.5,6,0,0,0,1,0,0,0
199,worried bout step dad,0,6,30,3.8333333333333335,1,0,0,0,0,0,0,0
200,madabam having fun swap meet mad missing,0,13,64,3.923076923076923,4,0,1,0,0,0,0,0
201,sarah year ago mallorca miss,0,14,84,4.928571428571429,4,0,0,0,0,0,1,0
202,right knew beautiful miracle unbeliveble instead invisible,0,23,126,4.478260869565218,13,0,0,0,0,0,0,0
203,marleisse wish cake,0,8,40,4.0,4,0,1,0,1,0,0,0
204,godfatherobie missed everythin yesterday wot anybody,0,13,85,5.538461538461538,2,0,2,0,0,0,0,0
205,miss brown brother,0,5,25,4.0,1,0,0,0,1,0,0,0
206,huneeb913 phone answer twitter,0,20,96,3.8,14,1,1,0,0,0,0,0
207,teeniewahine aw sucks hope eel better,0,8,51,5.375,2,0,1,0,0,0,0,0
208,pattydope suckss,0,6,40,5.666666666666667,3,0,1,0,0,0,0,0
209,sleep random coughing fits yes count,0,13,65,4.0,5,0,0,0,0,0,0,0
210,police stopped bus person transporting beautiful shaheen falcons managed escape crowd grrrr,0,21,138,5.571428571428571,8,0,0,0,0,0,0,0
211,fever pairs pants t-shirt sai jacket ugh away seriously sick,0,28,135,3.8214285714285716,10,0,0,0,2,0,0,0
212,miss big head friend realist08,0,7,37,4.285714285714286,1,0,1,0,1,0,0,0
213,makes sick leave dog cat kennel vacation,0,21,93,3.4285714285714284,14,0,0,0,0,0,0,0
214,stapler haiku whar woo hoo yeah beautiful party oops stapler,0,19,101,4.2631578947368425,3,0,0,0,1,0,0,0
215,adrogersam heard look addressmy visit limited sadly,0,19,101,4.315789473684211,10,0,1,0,0,0,0,0
216,date canceled feeling,0,7,49,6.0,1,0,0,0,0,0,0,0
217,ro05t3r youve recovered cold dont forget mandarin scripts greek,0,18,110,5.111111111111111,8,0,1,0,0,0,0,0
218,pre-order setb dont hnet hellllppp,0,14,77,4.5,8,0,0,0,2,0,0,0
219,stop indiana jones raped crystal skull ready indiana jones 5,0,20,133,5.65,4,0,0,0,3,0,1,0
220,sons nasty puffy eye woke looks allergy symptom,0,15,80,4.333333333333333,4,0,0,0,0,0,0,0
221,misssweetyd yep dont,0,8,42,4.25,3,0,1,0,1,0,0,0
222,caitypineapple yeah dnt leave,0,9,50,4.555555555555555,2,0,1,1,1,0,0,0
223,dontyouhate abortion women kill babies sad,0,9,65,6.222222222222222,2,1,0,0,0,0,0,0
224,mcflyboards unbanned xx,0,7,40,4.714285714285714,2,0,1,0,1,0,0,0
225,animalspiritsdr prayed mercy miss quottickle mequot bootsie miss brother misses,0,26,145,4.576923076923077,8,0,1,0,3,0,0,0
226,pain cheer weeks man mkis man bad x100000 alysha lee says p,0,25,117,3.68,8,0,0,1,0,0,0,0
227,alfinahawaii sucks allow dual maybe 10 years renew,0,22,121,4.5,11,0,1,1,0,0,0,0
228,mayapapaya727 piggio miss right,0,7,46,5.571428571428571,3,0,1,0,0,0,0,0
229,ceceakadimplez sound excited,0,5,39,6.8,1,0,1,0,0,0,0,0
230,feels terrible grandpa apologies bambulkask gotta meet sweetie,0,17,102,4.9411764705882355,7,0,1,0,0,0,0,0
231,workday slow,0,6,31,4.166666666666667,2,0,0,0,0,0,0,0
232,beautiful wish evolved enought quoteff itquot lay hammock book,0,29,142,3.8275862068965516,13,0,0,0,3,0,0,0
233,rip dr george tiller actions understand rationalization yes empathize,0,21,129,5.095238095238095,7,1,0,0,3,0,0,0
234,momadvice agreed productivity summer tough little ones nightmare start week school,0,22,136,5.181818181818182,9,0,1,0,0,0,0,0
235,ingrid ficou,0,3,17,4.666666666666667,1,0,0,0,0,0,0,0
236,playing tilt nick firefiend soon aussie freeroll yes broke,0,21,112,4.333333333333333,9,0,0,0,0,0,0,0
237,ivaniker 5 hours wish culd asot400,0,10,50,4.0,3,1,1,1,0,0,0,0
238,eek found body passenger air france flight vanished,0,17,89,4.235294117647059,8,0,0,0,0,0,0,0
239,lot people tweeting download iphone os 3 haz,0,18,88,3.888888888888889,6,0,0,1,3,0,0,0
240,planning schoolhave huge chemistry project boo jeezus,0,15,91,5.0,1,0,0,0,1,0,0,0
241,totally fun check-out cashier guy belair jerk,0,16,84,4.25,5,0,0,0,1,0,0,0
242,somebody help tired,0,6,36,5.0,1,0,0,0,0,0,0,0
243,theaaronphipps mmm hmmm doctors,0,5,44,7.8,0,0,1,0,0,0,0,0
244,ate chocolate chip cookies feel little sick,0,13,69,4.3076923076923075,3,0,0,0,2,0,0,0
245,scary monday,0,2,17,7.5,0,0,0,0,0,0,0,0
246,writing chapter 32 quotkeep believingquot fanfic hihihi listening music thinking francesco,0,18,124,5.888888888888889,6,0,0,1,0,0,0,0
247,agentm eww looks punched eye n detached retina,0,15,80,4.333333333333333,4,0,1,0,0,0,0,0
248,serena seeded venus 3,0,8,40,4.0,1,2,0,0,0,0,0,0
249,course workers porch completed maybe summer enjoy contractors,0,23,130,4.565217391304348,12,0,0,0,0,0,0,0
250,town 16th davidarchies concert manila aww,0,17,94,4.529411764705882,7,0,1,0,1,0,0,0
251,finally 40 mins hungover tired hopefully rockstar kick soon,0,27,135,3.962962962962963,15,0,0,1,0,0,0,0
252,ce d grademock,0,5,39,6.8,0,0,0,0,1,0,0,0
253,hung-over shit right tiger woods golf coursegosh need bloody mary,0,20,106,4.3,8,0,0,0,0,0,0,0
254,geoblogs yep prob after11 miss pubs sure,0,11,58,4.2727272727272725,4,0,1,0,0,0,0,0
255,sushi joint closed nice lunch w angel,0,12,60,4.0,5,0,0,0,0,0,0,0
256,bored kissed boy start samp tired dont throat hurts miss jaden ilovehim,0,23,142,4.956521739130435,8,0,0,0,1,0,0,0
257,giorgie26 spam messages clcik link sends,0,17,91,4.0,10,0,1,0,0,0,0,0
258,watch sirkus kontemporer galeri kesenian tonight hope finish earlier,0,15,95,5.333333333333333,5,0,0,0,0,0,0,0
259,thakang76 need vacation hope gets better soon,0,11,63,4.636363636363637,3,0,1,0,0,0,0,0
260,andyclemmensen people fakes,0,10,109,9.9,6,0,1,0,0,0,1,0
261,chipoatley halopeno omg guys delicious hahahaha,0,9,64,6.111111111111111,3,0,2,0,0,0,0,0
262,working tea place matter burn happens,0,15,71,3.7333333333333334,8,0,0,0,0,0,0,0
263,soaps3 early said 210 poor baby bad mommy,0,22,103,3.6818181818181817,7,0,1,0,3,0,0,0
264,need nap canadian lakes,0,12,56,3.6666666666666665,6,0,0,0,0,0,0,0
265,went pretty 11 people care raging headache thinking calling,0,24,118,3.9166666666666665,10,0,0,1,1,0,0,0
266,hi tweets weather fuc having problems breathing,0,16,86,4.3125,6,0,0,0,1,0,0,0
267,sick friday staying tonighttt lame,0,9,53,4.888888888888889,2,0,0,0,1,0,0,0
268,text bigger left,0,13,68,4.230769230769231,6,0,0,0,2,0,0,0
269,ajsplayhouse albertsons ran tickets husband went albertsons luck,0,18,105,4.833333333333333,9,0,1,0,0,0,0,0
270,paddys markets rain olivia,0,7,43,5.142857142857143,3,0,0,0,0,0,0,0
271,wendys,0,4,20,4.0,1,0,0,0,0,0,0,0
272,lonely,0,1,12,9.0,0,0,0,0,0,0,0,0
273,buy plane ticket visit sad,0,17,84,3.823529411764706,7,0,0,0,1,0,0,0
274,course flat tires need fixed b4 drive bull shit,0,21,93,3.4285714285714284,10,0,0,1,0,0,0,0
275,soo hot school,0,7,32,3.5714285714285716,2,0,0,0,1,0,0,0
276,worst girlfriend universe,0,7,41,4.857142857142857,4,0,0,0,0,0,0,0
277,crzyxazn gonna rocked algebra final,0,9,53,4.888888888888889,3,0,1,0,0,0,0,0
278,jonathanrknight hoping tweet sleep hope great sucks rain,0,27,129,3.7777777777777777,13,0,1,0,4,0,0,0
279,cdfinder hmm breakfast looking old mother hubbards cupboard situation,0,19,123,5.473684210526316,7,0,1,0,0,0,0,0
280,miss pams tea chocolate party sucks,0,15,84,4.533333333333333,5,0,0,0,0,0,0,0
281,project96chris vegas ptc,0,8,50,5.25,3,0,1,0,1,0,0,0
282,stephaniepratt sad find reason mean tho ends theyre starved tvcompany ridiculous praying,0,23,135,4.869565217391305,9,0,1,0,1,0,0,0
283,shar0869 posted video said taped chris load lateri waiting,0,25,145,4.76,10,0,1,0,1,0,0,0
284,phone number transfered monday,0,7,48,5.857142857142857,2,0,0,0,0,0,0,0
285,miss cold cafe bevvies,0,6,28,3.6666666666666665,2,0,0,0,0,0,0,0
286,wish life hanging outhe fun hates sad heres smile,0,26,127,3.8461538461538463,13,0,0,0,0,0,0,0
287,aching body,0,4,17,3.25,1,0,0,0,0,0,0,0
288,blacknightbk anti music didnt wanna deal wish woulda went,0,17,90,4.294117647058823,5,0,1,0,1,0,0,0
289,ggoing change quinny righty sleep school tomoz getting credit aswell come x,0,28,134,3.7142857142857144,9,0,1,0,0,0,0,0
290,stress makes constantly hungry,0,5,35,6.0,1,0,0,0,0,0,0,0
